20,20,14.60,15.10,15.60
20,50,14.50,15.00,15.50
20,80,14.40,14.90,15.40
20,ANY,14.30,14.80,15.30
70,20,14.35,14.85,15.35
70,50,14.25,14.75,15.25
70,80,14.15,14.65,15.15
70,ANY,14.05,14.55,15.05
85,20,14.10,14.60,15.10
85,50,14.00,14.50,15.00
85,80,13.90,14.40,14.90
85,ANY,13.80,14.30,14.80
ANY,20,13.10,13.60,14.10
ANY,50,13.00,13.50,14.00
ANY,80,12.90,13.40,13.90
ANY,ANY,12.80,13.30,13.80
,,,,
NICI OIWFS,R,17.5,,
20,20,16.00,16.75,17.50
20,50,16.00,16.75,17.50
20,80,15.70,16.45,17.20
20,ANY,15.50,16.25,17.00
70,20,15.50,16.25,17.00
70,50,15.50,16.25,17.00
70,80,15.20,15.95,16.70
70,ANY,15.00,15.75,16.50
85,20,15.00,15.75,16.50
85,50,15.00,15.75,16.50
85,80,14.70,15.45,16.20
85,ANY,14.50,15.25,16.00
ANY,20,14.50,15.25,16.00
ANY,50,14.50,15.25,16.00
ANY,80,14.20,14.95,15.70
ANY,ANY,14.00,14.75,15.50
,,,,
NIFS OIWFS,K,6.0,,
20,20,15.00,15.50,16.00
20,50,15.00,15.50,16.00
20,80,14.70,15.20,15.70
20,ANY,14.50,15.00,15.50
70,20,14.50,15.00,15.50
70,50,14.50,15.00,15.50
70,80,14.20,14.70,15.20
70,ANY,14.00,14.50,15.00
85,20,14.00,14.50,15.00
85,50,14.00,14.50,15.00
85,80,13.70,14.20,14.70
85,ANY,13.50,14.00,14.50
ANY,20,13.50,14.00,14.50
ANY,50,13.50,14.00,14.50
ANY,80,13.20,13.70,14.20
ANY,ANY,13.00,13.50,14.00
,,,,
NIRI OIWFS,K,6.0,,
20,20,14.50,15.00,15.50
20,50,14.50,15.00,15.50
20,80,14.20,14.70,15.20
20,ANY,14.00,14.50,15.00
70,20,14.00,14.50,15.00
70,50,14.00,14.50,15.00
70,80,13.70,14.20,14.70
70,ANY,13.50,14.00,14.50
85,20,13.50,14.00,14.50
85,50,13.50,14.00,14.50
85,80,13.20,13.70,14.20
85,ANY,13.00,13.50,14.00
ANY,20,13.00,13.50,14.00
ANY,50,13.00,13.50,14.00
ANY,80,12.70,13.20,13.70
ANY,ANY,12.50,13.00,13.50
